name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,phone,opening_hours,operator,golf:course,description,email,start_date,website,facebook,source,wikidata,alt_name,golf,landuse,old_name,addr:full,contact:facebook,golf:par,sport,note,wikipedia,layer,surface,addr:country,contact:website,access,hole,tee,opening_hours:signed,owner,type,fixme,designation,ele,gnis:feature_id,area_m2,lat,lon,province,gcid
Ramsey Golf and Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,183888.87647514755,41.05033608278169,-74.13381640625177,New Jersey,NJ00144
Greenbriar Woodlands Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,182757.35658846257,40.03039659844514,-74.19168725552333,New Jersey,NJ00067
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,181833.75125362727,40.229282852061324,-74.03299738599966,New Jersey,NJ00131
Unknown Golf Course,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,179950.77250231913,40.47915417830617,-74.48881743198395,New Jersey,NJ00321
B L England Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178649.99813301268,39.2846999047199,-74.63424368198035,New Jersey,NJ00094
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,174199.69592752296,40.92954102826418,-74.57344673867495,New Jersey,NJ00252
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,174199.69592752296,40.92954102826418,-74.57344673867495,New Jersey,NJ00251
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,170456.13075274814,41.30087653507861,-74.76614835366877,New Jersey,NJ00189
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,161696.5556004175,39.86276531208141,-74.79287382233811,New Jersey,NJ00224
Plainfield West Nine,Edison,,,NJ,,+1-908-769-3672,,Plainfield Country Club,,,,,https://www.castnergolf.com/plainfield-west-9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,156045.6047706788,40.59901544632605,-74.39259290056341,New Jersey,NJ00181
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,154934.8136222888,39.45871848099083,-74.95239427252983,New Jersey,NJ00230
Culver Lake Golf Course,,,,,,,Mo-Fr 07:00-21:00; Fr 07:00-21:30; Sa 06:30-21:30; Su 06:30-21:00,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,153100.96961642843,41.16422042138667,-74.76743052003933,New Jersey,NJ00193
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,143982.01221718406,39.168782733015526,-74.7601635939122,New Jersey,NJ00208
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,132450.3094191135,41.307532124523455,-74.76282965899733,New Jersey,NJ00190
Shady Rest Country Club,,820,,,Jerusalem Road,,,,,Historic Shady Rest Golf and Country Club.,,,,,NJ2002LULC,Q113363314,,,,,,,,,,en:Shady Rest Country Club,,,,,,,,,,,,,,,132137.30452855988,40.65719564171702,-74.37577955039889,New Jersey,NJ00151
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128992.01940121726,40.034914162063615,-74.17403868219037,New Jersey,NJ00240
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,127700.06581569534,40.57572091187108,-74.81030389257062,New Jersey,NJ00202
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,126707.65776285918,39.827004174980054,-74.86198025346451,New Jersey,NJ00223
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,120142.05217424328,40.395067408816615,-74.70603039983494,New Jersey,NJ00201
Ramsey Golf and Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,119844.85914897636,41.04752323154508,-74.13755926987962,New Jersey,NJ00142
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,114397.29405933814,39.06995866253762,-74.82208529501966,New Jersey,NJ00062
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,113202.42068597645,40.35204686512409,-74.09637706810794,New Jersey,NJ00172
Ocean City Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111028.41134100266,39.266232617069164,-74.60180151472352,New Jersey,NJ00272
Unknown Golf Course,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,109949.22730135366,39.51518174335429,-74.98393792203711,New Jersey,NJ00327
Lake Lackawanna Golf Course,Stanhope,131,,,Lake Dr,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,103758.80903742384,40.94927674964768,-74.69584335127895,New Jersey,NJ00116
Washington Township Municipal Golf Course,Blackwood,197,08012,NJ,Fries Mill Road,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,101660.75012449166,39.734489517423995,-75.05081765429766,New Jersey,NJ00211
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,101072.12518386325,40.398758985833624,-74.71745340505615,New Jersey,NJ00200
Raintree Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,94674.06535626248,40.24417271836288,-74.31030723483333,New Jersey,NJ00122
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88654.67773576605,40.039154780636984,-74.17155707170978,New Jersey,NJ00314
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87335.27609889486,40.39316745812319,-74.71081832797559,New Jersey,NJ00339
Twin Willows Par 3 Golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86170.28112515222,40.93016461123883,-74.29172591971991,New Jersey,NJ00282
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,79768.7624173863,40.796172609690544,-74.74009177201742,New Jersey,NJ00273
Minerals Family Golf Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79405.76066028935,41.18011497746357,-74.52258220990208,New Jersey,NJ00280
Minerals Family Golf Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69375.23437838683,41.18133664474287,-74.524684348059,New Jersey,NJ00278
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65113.97490749041,40.74554298645446,-74.3414115134885,New Jersey,NJ00311
Golf 23 Driving Range,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,56065.46924304244,40.964714504670674,-74.28235202643882,New Jersey,NJ00147
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,54835.648118357225,40.63414543471707,-74.78168675591063,New Jersey,NJ00263
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,53834.08079926724,40.30305807496799,-74.47518060731655,New Jersey,NJ00120
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53340.68981726211,40.029884913463256,-74.15095138763328,New Jersey,NJ00313
Willowbrook Golf Center,Wayne,366,07470,NJ,US-46,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,49310.083384022364,40.89287289731032,-74.24722690757814,New Jersey,NJ00146
Golf Land,Voorhees,,,,Haddonfield-Berlin Road,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,48168.01209160515,39.850668815029465,-74.97762934760527,New Jersey,NJ00207
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,46658.30741905446,39.78660178715844,-74.99881415574669,New Jersey,NJ00225
Pines Course,,,,,,,,Leisure Village West Association,9_hole,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,private,,,,Leisure Village West Association,,,,,,42125.63345780858,40.01299001273274,-74.28412425051789,New Jersey,NJ00241
Essex Family Golf Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41989.23726743332,40.827932603026255,-74.32943284930921,New Jersey,NJ00163
Unknown Golf Course,,,,,,,,,,,,,,,,,,driving_range,,,,,,,,,,,,,,,,,,multipolygon,,,,,35928.05602018868,40.276000934789735,-74.17438180224224,New Jersey,NJ00076
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,35681.28988157963,40.24528840572681,-74.76842510700281,New Jersey,NJ00323
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,34984.88409664019,39.84599838241108,-74.8919800364174,New Jersey,NJ00304
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,32183.35589634962,40.39464289558593,-74.70701767705359,New Jersey,NJ00199
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,30801.33015820799,39.79078400034365,-75.01174099930428,New Jersey,NJ00226
Willis Athletics Training Center at Raritan Golf Range,Raritan,101,08869,NJ,Orlando Drive,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,28328.353384478774,40.56562934858746,-74.62688727438234,New Jersey,NJ00165
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,27881.063270463277,39.828847632693076,-74.86660860639246,New Jersey,NJ00222
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,26756.507848213565,39.794805904659924,-75.00966750370287,New Jersey,NJ00227
Willow Course,,,,,,,,Leisure Village West Association,9_hole,,,,,,,,,,,,,,,,,,,,,,private,,,,Leisure Village West Association,,,,,,25902.63805288902,40.01637979761654,-74.27669602513488,New Jersey,NJ00328
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22631.146950866205,39.94806637719615,-74.98201860822508,New Jersey,NJ00308
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,22168.198718289266,40.57912811868308,-74.8069234663625,New Jersey,NJ00203
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20037.31182036285,40.35132080756836,-74.09443921548261,New Jersey,NJ00319
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,18825.170402248477,40.39406105957638,-74.70248972743163,New Jersey,NJ00197
First Tee Course,,,,,,,,First Tee of the Jersey Shore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14911.0354834943,40.09063034497747,-74.18840655009186,New Jersey,NJ00338
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13079.606858050598,39.78683371047107,-75.00997060194838,New Jersey,NJ00305
Unknown Golf Course,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,12408.739828623982,39.45423056031266,-74.98696201398242,New Jersey,NJ00329
Cooper River Driving Range,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,10950.026263076836,39.92869525338071,-75.08452697747866,New Jersey,NJ00286
Minerals Family Golf Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10186.667461005356,41.17794391068901,-74.52088147406879,New Jersey,NJ00279
