# of Holes,Address,Club Type,Course Par,Location,Phone,Total Yards,Website,url
18,"https://www.google.com/maps/place/7731 Mission Road Cranbrook,BC V1C 7E5",Semi-private,Par 72,"Cranbrook, BC",(250) 420-2000,6973,https://www.steugene.ca,https://www.golfcanada.ca/golf-facility/st-eugene-golf-resort-en/
18,"https://www.google.com/maps/place/9100 Steveston Hwy Richmond,BC V7A 1M5",Private,Par 72,"Richmond, BC",(604) 277-3141,6748,https://www.richmond-cc.org,https://www.golfcanada.ca/golf-facility/richmond-country-club-en/
18,"https://www.google.com/maps/place/PO Box 1346 Princeton,BC V0X 1W0",Public,Par 72,"Princeton, BC",(250) 295-6123,6506,https://www.princetongolfclub.com,https://www.golfcanada.ca/golf-facility/princeton-golf-club-en/
18,"https://www.google.com/maps/place/R.R. # 1 Vittoria,ON N0E 1W0",Public,Par 66,"Vittoria, ON",(519) 426-0683,4814,,https://www.golfcanada.ca/golf-facility/pine-valley-golf-club-en/
18,"https://www.google.com/maps/place/50 George Hunt Memorial Drive, Parry Sound,ON P2A 2W9",Public,Par 71,"Parry Sound, ON",(705) 342-5262,5829,https://www.parrysoundgolf.com,https://www.golfcanada.ca/golf-facility/parry-sound-golf-country-club-en/
9,"https://www.google.com/maps/place/1154 Sixth Line 1154 Sixth Line Oakville,ON L6H 6M1",Private,Par 70,"Oakville, ON",(905) 845-8321,6248,https://www.oakvillegolfclub.com,https://www.golfcanada.ca/golf-facility/oakville-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 6085 Peace River,AB T8S 1S1",Public,Par 72,"Peace River, AB",(780) 332-4653,6650,https://www.mightypeacegolf.com,https://www.golfcanada.ca/golf-facility/mighty-peace-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 577 Columbia Avenue Kerrobert,SK S0L 1R0",Public,Par —,"Kerrobert, SK",(306) 577-4422,—,,https://www.golfcanada.ca/golf-facility/kerrobert-golf-club-en/
36,"https://www.google.com/maps/place/6400 Steeles Avenue East Markham,ON L3S 3J5",Public,,"Markham, ON",(416) 293-2833,,,https://www.golfcanada.ca/golf-facility/remington-parkview-golf-country-club-en/
18,"https://www.google.com/maps/place/1020 Chemin du Golf L'Assomption,QC J5W 1K3",Public,Par 72,"L'Assomption, QC",(450) 589-5686,6741,,https://www.golfcanada.ca/golf-facility/portage-club-de-golf-le-en/
18,"https://www.google.com/maps/place/3767 Estaire Road Sudbury,ON P3L 1M2",Public,Par —,"Sudbury, ON",705-522-1622,—,,https://www.golfcanada.ca/golf-facility/pine-grove-golf-club-en/
18,"https://www.google.com/maps/place/35 Lauren Road Port Perry,ON L9L 2A7",Public,Par 71,"Port Perry, ON",(905) 985-0883,6350,,https://www.golfcanada.ca/golf-facility/oakridge-golf-club-en/
18,"https://www.google.com/maps/place/804027 Golf Course Road Temiskaming Shores,ON P0J 1P0",Public,Par 72,"Temiskaming Shores, ON",—,6688,,https://www.golfcanada.ca/golf-facility/new-liskeard-golf-club-en/
9,"https://www.google.com/maps/place/Box 426 Winnipegosis,MB R0L 2G0",Public,Par 70,"Winnipegosis, MB",204-656-4302,5722,,https://www.golfcanada.ca/golf-facility/winnipegosis-golf-club-en/
18,"https://www.google.com/maps/place/1316 Dickie Settlement Road Cambridge,ON N3H 4R8",Private,Par 72,"Cambridge, ON",(519) 650-2327,7562,https://www.whistlebear.ca,https://www.golfcanada.ca/golf-facility/whistle-bear-golf-club-en/
18,"https://www.google.com/maps/place/2700 Avenue du Sault Quebec,QC G1C 2L2",Semi-private,Par 71,"Quebec, QC",4186614361,6028,https://www.golflemontmorency.com,https://www.golfcanada.ca/golf-facility/montmorency-club-de-golf-en/
18,"https://www.google.com/maps/place/Site 9, Box 10, RR # 1 New Glasgow,NS B2H 5C4",Public,Par 72,"New Glasgow, NS",(902) 753-4653,6423,,https://www.golfcanada.ca/golf-facility/glen-lovat-golf-club-en/
18,"https://www.google.com/maps/place/38 Holloway Drive Kamloops,BC V1S 0B3",Public,Par 72,"Kamloops, BC",250-434-7373,7367,https://www.tobiano.ca,https://www.golfcanada.ca/golf-facility/tobiano-golf-course-en/
18,L7B 0G7,Semi-private,Par 71,"King, ON",905-841-7378,6600,,https://www.golfcanada.ca/golf-facility/redcrest-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 309 Onanole,MB R0J 1N0",Public,Par 71,"Onanole, MB",—,6355,,https://www.golfcanada.ca/golf-facility/poplar-ridge-golf-club-en/
18,"https://www.google.com/maps/place/201, chemin de la Montagne 201, chemin de la Montagne Piedmont,QC J0K 1K0",Public,Par 72,"Piedmont, QC",—,5909,,https://www.golfcanada.ca/golf-facility/piedmont-club-de-golf-en/
18,"https://www.google.com/maps/place/207 Osprey Cres. P.O. Box 522 207 Osprey Cres. P.O. Box 522 Callander,ON P0H 1H0",Semi-private,Par 71,"Callander, ON",—,6400,,https://www.golfcanada.ca/golf-facility/osprey-links-golf-club-en/
27,"https://www.google.com/maps/place/1505 Hwy #2 Ancaster,ON L0R 1R0",Public,,"Ancaster, ON",—,,https://www.oakgables.com,https://www.golfcanada.ca/golf-facility/oak-gables-golf-club-en/
18,"https://www.google.com/maps/place/55 Montée du Golf, Lac-Beauport, QC G3B 0K5 Lac-Beauport,QC G3B 0K5",Public,Par 70,"Lac-Beauport, QC",(418) 849-4418,5865,,https://www.golfcanada.ca/golf-facility/mont-tourbillon-club-de-golf-en/
—,"https://www.google.com/maps/place/2321 Shantz Station Rd. Breslau,ON N0B 1M0",Public,Par 63,"Breslau, ON",519-648-2831,3982,,https://www.golfcanada.ca/golf-facility/merry-hill-golf-club-red-blue-en/
18,"https://www.google.com/maps/place/50 Dunkirk Drive Winnipeg,MB R2M 0V2",Public,Par —,"Winnipeg, MB",(204) 233-5888,—,,https://www.golfcanada.ca/golf-facility/winnipeg-canoe-club-the-canoe-en/
18,"https://www.google.com/maps/place/P.O. Box 100 St. Paul's Inlet,NL A0K 4Y0",Public,Par 72,"St. Paul's Inlet, NL",—,6943,https://www.grosmorneresort.com,https://www.golfcanada.ca/golf-facility/gros-morne-resort-en/
18,"https://www.google.com/maps/place/4500 Fountain Drive Red Deer,AB T4N 6W8",Private,Par 72,"Red Deer, AB",(403) 347-5441,6974,https://rdgcc.ca,https://www.golfcanada.ca/golf-facility/red-deer-golf-country-club-en/
18,"https://www.google.com/maps/place/15 Carré du Golf Pont-Rouge,QC G3H 2N7",Public,Par 72,"Pont-Rouge, QC",(418) 873-5256,6234,,https://www.golfcanada.ca/golf-facility/pont-rouge-club-de-golf-en/
18,"https://www.google.com/maps/place/2575 William Jackson Dr Pickering,ON L1V 2P8",Public,Par 70,"Pickering, ON",—,5482,,https://www.golfcanada.ca/golf-facility/pickering-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 36, 160 Alexandra Stree Oshawa,ON L1H 7K8",Private,Par 72,"Oshawa, ON",(905) 723-4681,6721,https://www.oshawagolf.com,https://www.golfcanada.ca/golf-facility/oshawa-golf-curling-club-en/
36,"https://www.google.com/maps/place/6015 Highway 89 Alliston,ON L9R 1A4",Public,,"Alliston, ON",(705) 435-5504,,,https://www.golfcanada.ca/golf-facility/nottawasaga-inn-golf-club-en/
9,"https://www.google.com/maps/place/101 Trenholm St Nackawic,NB E6G 2L8",Public,Par 70,"Nackawic, NB",(506) 575-3305,5481,,https://www.golfcanada.ca/golf-facility/nackawic-golf-country-club-en/
18,"https://www.google.com/maps/place/120, Route du Mont Adstock Adstock,QC G0N 1S0",Public,Par 71,"Adstock, QC",418-422-2242,6096,https://www.golfadstock.com,https://www.golfcanada.ca/golf-facility/mont-adstock-club-de-golf-en/
18,"https://www.google.com/maps/place/PO Box 250 Meota,SK S0M 1X0",Public,Par —,"Meota, SK",(306) 845-3121,—,,https://www.golfcanada.ca/golf-facility/meota-golf-club-en/
18,"https://www.google.com/maps/place/200 Golfwood Drive Amherstburg,ON N9V 3T4",Private,Par 72,"Amherstburg, ON",(519) 736-8623,6631,https://www.pointewestgolf.com,https://www.golfcanada.ca/golf-facility/pointe-west-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 1625 Stettler,AB T0C 2L0",Public,Par 71,"Stettler, AB",(403) 742-4653,6156,https://www.pheasantbackgolf.ca,https://www.golfcanada.ca/golf-facility/pheasantback-golf-club-en/
21,L0L 1P0,Public,Par 71,", ON",—,5762,,https://www.golfcanada.ca/golf-facility/orr-lake-golf-club-en/
18,"https://www.google.com/maps/place/1776 Gulf Shore Road Gulf Shore,NS B0K 1L0",Public,Par 72,"Gulf Shore, NS",(902) 243-2808,6618,https://www.northumberlandlinks.com,https://www.golfcanada.ca/golf-facility/northumberland-links-en/
36,"https://www.google.com/maps/place/1707 Jerseyville Road West Ancaster,ON L0R 1R0",Semi-private,Par 73,"Ancaster, ON",1-888-833-8787,7365,https://www.mysticgolfclub.com,https://www.golfcanada.ca/golf-facility/mystic-golf-club-en/
18,"https://www.google.com/maps/place/212 Coverdale Rd 212 Coverdale Rd Riverview,NB E1B 4T9",Semi-private,Par 70,"Riverview, NB",(506) 387-3850,6213,https://www.monctongolfclub.nb.ca,https://www.golfcanada.ca/golf-facility/moncton-golf-country-club-en/
18,"https://www.google.com/maps/place/50 Inverness Dr Kitchener,ON N2M 4Z9",Private,Par 73,"Kitchener, ON",(519) 742-2323,7018,https://www.westmountgolf.com,https://www.golfcanada.ca/golf-facility/westmount-golf-country-club-en/
18,—,Private,Par 72,", QC",—,7488,,https://www.golfcanada.ca/golf-facility/memphremagog-club-de-golf-en/
18,"https://www.google.com/maps/place/RR #1 Westerose,AB T0C 2V0",Public,Par 71,"Westerose, AB",(780) 586-2071,6379,,https://www.golfcanada.ca/golf-facility/willow-greens-golf-resort-en/
18,"https://www.google.com/maps/place/156 Bolsover Rd Bolsover,ON K0M 1B0",Public,Par 70,"Bolsover, ON",—,6130,,https://www.golfcanada.ca/golf-facility/western-trent-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 300 Tofield,AB T0B 4J0",Public,Par 33,"Tofield, AB",(780) 662-3457,2296,https://golftofield.ca,https://www.golfcanada.ca/golf-facility/tofield-golf-country-club-en/
18,"https://www.google.com/maps/place/3350 S.W. Marine Dr. Vancouver,BC V6N 3Y9",Private,Par 72,"Vancouver, BC",(604) 267-4306,6701,https://www.pointgreygolf.com,https://www.golfcanada.ca/golf-facility/point-grey-golf-country-club-en/
27,"https://www.google.com/maps/place/18033 Warden Avenue Sharon,ON L0G 1V0",Public,,"Sharon, ON",(905) 898-3917,,,https://www.golfcanada.ca/golf-facility/pheasant-run-golf-club-en/
18,"https://www.google.com/maps/place/C-5, McCausland Rd., RR 1 Powell River,BC V8A 4Z2",Public,Par 72,"Powell River, BC",(604) 4874653,6923,https://www.myrtlepointgolfclub.com,https://www.golfcanada.ca/golf-facility/myrtle-point-golf-club-en/
9,"https://www.google.com/maps/place/PO Box 814 Fraser Lake,BC V0J 1S0",Public,Par 70,"Fraser Lake, BC",(250) 699-7761,5763,,https://www.golfcanada.ca/golf-facility/molyhills-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 10 Shell Lake,SK S0J 2G0",Public,Par 71,"Shell Lake, SK",(306) 427-2281,6011,,https://www.golfcanada.ca/golf-facility/memorial-lake-regional-park-golf-course-en/
18,"https://www.google.com/maps/place/2455 Base Line R.R. # 8 Keene,ON K9J 6X7",Semi-private,Par 71,"Keene, ON",(705) 743-5953,6306,https://pinecrestgolfclub.com,https://www.golfcanada.ca/golf-facility/pine-crest-golf-country-club-en/
18,"https://www.google.com/maps/place/2777 KLO Rd. Kelowna,BC V1W 4A5",Public,Par 64,"Kelowna, BC",(250) 763-2447,4166,,https://www.golfcanada.ca/golf-facility/orchard-greens-golf-club-en/
9,"https://www.google.com/maps/place/540 Twincity Crossroads Thunder Bay,ON P7G 1S6",Public,Par 72,"Thunder Bay, ON",(807) 935-2687,6946,,https://www.golfcanada.ca/golf-facility/northern-lights-golf-complex-en/
18,"https://www.google.com/maps/place/Box 280 Port Carling,ON P0B 1J0",Private,Par 70,"Port Carling, ON",(705) 765-3166,5995,,https://www.golfcanada.ca/golf-facility/muskoka-lakes-golf-country-club-ltd-en/
18,"https://www.google.com/maps/place/1725 Mississauga Road Mississauga,ON L5H 2K4",Private,,"Mississauga, ON",(905) 278-4837,,https://www.mississauguagolf.com,https://www.golfcanada.ca/golf-facility/mississaugua-golf-and-country-club-en/
18,"https://www.google.com/maps/place/PO Box 621 Melfort,SK S0E 1A0",Public,Par 72,"Melfort, SK",(306) 761-2461,6459,,https://www.golfcanada.ca/golf-facility/melfort-golf-country-club-en/
18,"https://www.google.com/maps/place/1030 Armour Road Peterborough,ON K9H 7H4",Private,Par 71,"Peterborough, ON",(705) 743-5010,6418,https://www.ptbogolf.com,https://www.golfcanada.ca/golf-facility/peterborough-golf-country-club-en/
9,"https://www.google.com/maps/place/273 Metro Road North Keswick,ON L4P 3E1",Semi-private,Par 72,"Keswick, ON",—,6170,https://www.orchardbeachgolf.com,https://www.golfcanada.ca/golf-facility/orchard-beach-golf-country-club-en/
18,"https://www.google.com/maps/place/665 Bruce Street Hepworth,ON N0H 1P0",Public,Par 72,"Hepworth, ON",(519) 935-3000,6400,,https://www.golfcanada.ca/golf-facility/northern-dunes-golf-club-ltd-en/
18,"https://www.google.com/maps/place/1036 S. Monck Drive Bracebridge,ON P1L 1W8",Public,Par 69,"Bracebridge, ON",(705) 646-1060,5644,,https://www.golfcanada.ca/golf-facility/muskoka-highlands-golf-links-en/
18,"https://www.google.com/maps/place/PO Box 3161 Mission,BC V2V 4J4",Semi-private,Par 71,"Mission, BC",(604) 826-7617,6067,https://www.missiongolfclub.com,https://www.golfcanada.ca/golf-facility/mission-golf-country-club-en/
18,"https://www.google.com/maps/place/13615 Harris Rd. Pitt Meadows,BC V3Y 2R8",Semi-private,Par 72,"Pitt Meadows, BC",(604) 465-5431,6549,https://www.pittmeadowsgolf.com,https://www.golfcanada.ca/golf-facility/pitt-meadows-golf-club-en/
18,"https://www.google.com/maps/place/947 PIGEON ST NE Medicine Hat,AB T1C 1R2",Semi-private,Par 72,"Medicine Hat, AB",(403) 529-6930,6696,https://www.medhatgolf.com,https://www.golfcanada.ca/golf-facility/medicine-hat-golf-country-club-en/
18,"https://www.google.com/maps/place/PO Box 537 Wembley,AB T0H 3S0",Public,Par 71,"Wembley, AB",(780) 766-2720,5851,https://pipestonegc.ca,https://www.golfcanada.ca/golf-facility/pipestone-golf-club-en/
9,"https://www.google.com/maps/place/141 Peninsula Road Marathon,ON P0T 2E0",Public,Par 72,"Marathon, ON",(807) 229-1392,6142,https://www.marathon.ca,https://www.golfcanada.ca/golf-facility/peninsula-golf-course-en/
18,"https://www.google.com/maps/place/1075 Highway 7 Oakwood,ON K0M 2M0",Semi-private,Par 71,"Oakwood, ON",(705) 953-2093,6520,https://www.olivers-nest.com,https://www.golfcanada.ca/golf-facility/olivers-nest-golf-club-en/
18,"https://www.google.com/maps/place/476 South Mary Lake Rd RR 1 Port Sydney,ON P0B 1L0",Public,Par 70,"Port Sydney, ON",705-385-0808,6163,,https://www.golfcanada.ca/golf-facility/north-granite-ridge-golf-club-en/
18,"https://www.google.com/maps/place/C/O 376 Bacchus Drive Thunder Bay,ON P7K 1J5",Public,Par 72,"Thunder Bay, ON",(807) 939-1331,5610,,https://www.golfcanada.ca/golf-facility/municipal-golf-club-en/
9,—,Semi-private,Par 72,"Walkerton, ON",519-881-0709,6106,,https://www.golfcanada.ca/golf-facility/walkerton-golf-curling-club-en/
18,"https://www.google.com/maps/place/19 Buhler Drive 19 Buhler Drive Morden,MB R6M 1A2",Semi-private,Par 72,"Morden, MB",(204) 822-4992,6646,https://golfminnewasta.com,https://www.golfcanada.ca/golf-facility/minnewasta-golf-country-club-en/
18,"https://www.google.com/maps/place/47823 Yale Rd. East Chilliwack,BC V2P 7N3",Public,Par 70,"Chilliwack, BC",(604) 792-2276,5613,https://www.meadowlandsgolfcountry.com,https://www.golfcanada.ca/golf-facility/meadowlands-golf-country-club-en/
18,"https://www.google.com/maps/place/R.R. # 3 St. Mary's,ON N4X 1C6",Semi-private,Par 65,"St. Mary's, ON",5192252329,4734,https://www.rivervalleygolfandtube.com,https://www.golfcanada.ca/golf-facility/river-valley-golf-club-en/
9,"https://www.google.com/maps/place/2305 Otter Bay, P.O. Box 6 Pender Island,BC V0N 2M0",Public,Par 68,"Pender Island, BC",(250) 629-6659,5045,https://www.penderislandgolf.com,https://www.golfcanada.ca/golf-facility/pender-island-golf-country-club-en/
23,"https://www.google.com/maps/place/RR 1 Site 2 Box 13 Olds,AB T4H 1P2",Public,Par 72,"Olds, AB",(403) 556-8008,6890,https://www.oldsgolf.com,https://www.golfcanada.ca/golf-facility/olds-golf-club-en/
18,"https://www.google.com/maps/place/Box 802 - 100 Tupper Drive North Bay,ON P1B 8K1",Private,Par 72,"North Bay, ON",(705) 472-7270,6509,,https://www.golfcanada.ca/golf-facility/north-bay-golf-country-club-ltd-en/
18,"https://www.google.com/maps/place/612 Muirfield Crescent Lyalta,AB T0J 1Y1",Public,Par 70,"Lyalta, AB",—,6313,https://www.muirfieldlakes.com,https://www.golfcanada.ca/golf-facility/muirfield-lakes-golf-club-en/
18,"https://www.google.com/maps/place/61 6th Street SW Minnedosa,MB R0J 1E0",Public,Par 72,"Minnedosa, MB",(204) 867-3151,6461,https://www.discoverminnedosa.com,https://www.golfcanada.ca/golf-facility/minnedosa-golf-country-club-en/
18,"https://www.google.com/maps/place/1505 2nd Street Wainwright,AB T9W 1L5",Public,Par 72,"Wainwright, AB",(780) 842-3046,6424,,https://www.golfcanada.ca/golf-facility/wainwright-golf-course-en/
18,"https://www.google.com/maps/place/11939 Warden Avenue, Box 670 Gormley,ON L0H 1G0",Private,Par 71,"Gormley, ON",(905) 887-5801,7007,https://www.meadowbrookgolf.net,https://www.golfcanada.ca/golf-facility/meadowbrook-golf-country-club-en/
18,"https://www.google.com/maps/place/1140, route Philomene-Thibodea St-Alban,QC G0A 3B0",Public,Par 70,"St-Alban, QC",4182685210,5583,https://www.golfdespins.com,https://www.golfcanada.ca/golf-facility/pins-club-de-golf-des-en/
9,"https://www.google.com/maps/place/P.O. Box 154 Madeira Park,BC V0N 2H0",Public,Par 72,"Madeira Park, BC",(604) 883-9541,6190,,https://www.golfcanada.ca/golf-facility/pender-harbour-golf-club-en/
9,"https://www.google.com/maps/place/6 Central Street 6 Central Street Doaktown,NB E9C 1E6",Public,Par 72,"Doaktown, NB",(506) 365-7584,6104,,https://www.golfcanada.ca/golf-facility/old-mill-pond-golf-country-club-en/
18,"https://www.google.com/maps/place/PO Box 372 North Battleford,SK S9A 2Y3",Public,Par 72,"North Battleford, SK",(306) 937-5656,6562,https://www.northbattlefordgolf.com,https://www.golfcanada.ca/golf-facility/north-battleford-golf-country-club-en/
18,"https://www.google.com/maps/place/1 Tee Time Drive 1 Tee Time Drive Moncton,NB E1G 3T7",Public,Par 72,"Moncton, NB",(506) 858-1611,6195,https://www.mountainwoods.ca,https://www.golfcanada.ca/golf-facility/mountain-woods-golf-club-en/
9,"https://www.google.com/maps/place/30 Rue Long Granby,QC J2G 6S8",Public,Par 72,"Granby, QC",(450) 372-4462,5809,,https://www.golfcanada.ca/golf-facility/miner-club-de-golf-en/
—,"https://www.google.com/maps/place/18 Alusru Way Whitehorse,YT Y1A 0C3",Public,Par 72,"Whitehorse, YT",(867)668-4653,5548,,https://www.golfcanada.ca/golf-facility/meadow-lakes-golf-course-en/
18,"https://www.google.com/maps/place/PO Box 160 Highway 2 Holdfast,SK S0G 2H0",Public,Par —,"Holdfast, SK",(306) 488-2194,—,,https://www.golfcanada.ca/golf-facility/holdfast-golf-club-en/
9,"https://www.google.com/maps/place/1550 Pebblestone Road Courtice,ON L1E 2K6",Semi-private,Par 70,"Courtice, ON",(905) 725-7452,5622,https://www.pebblestonegolfcourse.com,https://www.golfcanada.ca/golf-facility/pebblestone-golf-course-ltd-en/
18,"https://www.google.com/maps/place/Box 305 Perdue,SK S0K 3C0",Public,Par 72,"Perdue, SK",(306) 237-4365,6960,https://oasisgolfresort.com,https://www.golfcanada.ca/golf-facility/oasis-golf-resort-en/
27,"https://www.google.com/maps/place/125 Nobelton Lakes Dr. Nobleton,ON L0G 1N0",Public,,"Nobleton, ON",(905) 859-4070,,https://www.nobletonlakesgolf.com,https://www.golfcanada.ca/golf-facility/nobleton-lakes-golf-club-en/
18,"https://www.google.com/maps/place/311 Mountain View RD Arnprior,ON K7S-3H6",Semi-private,Par 70,"Arnprior, ON",(613) 623-8919,6025,https://www.mountaincreekgolf.com,https://www.golfcanada.ca/golf-facility/mountain-creek-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 74 Wadena,SK S0A 4J0",Public,Par —,"Wadena, SK",(306) 697-3055,—,,https://www.golfcanada.ca/golf-facility/wadena-golf-club-en/
27,"https://www.google.com/maps/place/7994 Yonge Street Thornhill,ON L4J 1W3",Private,,"Thornhill, ON",(905) 881-3000,,https://www.thornhillgcc.com,https://www.golfcanada.ca/golf-facility/the-thornhill-club-en/
18,—,Public,Par 62,", ON",905-659-1271,4110,,https://www.golfcanada.ca/golf-facility/pineland-greens-golf-club-en/
45,"https://www.google.com/maps/place/RR#1, 269 Durham Rd 8 Uxbridge,ON L9P 1R1",Semi-private,,"Uxbridge, ON",(905) 852-6212,,,https://www.golfcanada.ca/golf-facility/mill-run-golf-country-club-en/
9,"https://www.google.com/maps/place/PO Box 584 Watson,SK S0K 4V0",Public,Par 70,"Watson, SK",(306) 287-4240,6446,,https://www.golfcanada.ca/golf-facility/mcnab-regional-park-golf-club-en/
18,"https://www.google.com/maps/place/1000 Bloor St East Oshawa,ON L1H 8S1",Semi-private,Par —,"Oshawa, ON",—,—,,https://www.golfcanada.ca/golf-facility/harmony-creek-golf-centre-ltd-en/
18,"https://www.google.com/maps/place/RR 4, County Road 44 Kemptville,ON K0G 1J0",Semi-private,Par 68,"Kemptville, ON",(613) 258-4404,4282,,https://www.golfcanada.ca/golf-facility/rideau-glen-golf-club-en/
18,"https://www.google.com/maps/place/Box 475 Provost,AB T0B 3S0",Public,Par —,"Provost, AB",(780) 753-6478,—,,https://www.golfcanada.ca/golf-facility/provost-district-golf-club-en/
36,"https://www.google.com/maps/place/1471 Blair Road Ottawa,ON K1B 4S3",Public,,"Ottawa, ON",—,,https://www.pineview.com,https://www.golfcanada.ca/golf-facility/pine-view-golf-course-en/
9,"https://www.google.com/maps/place/Box 339 Arborfield,SK S0E 0L0",Public,Par 74,"Arborfield, SK",(306) 768-2880,6468,https://www.pasquia.com,https://www.golfcanada.ca/golf-facility/pasquia-rp-golf-club-en/
18,"https://www.google.com/maps/place/665 CH Des Vingt St-Bruno-de-Montarville,QC J3V 4P6",Private,Par 70,"St-Bruno-de-Montarville, QC",(450) 653-2201,6631,,https://www.golfcanada.ca/golf-facility/mount-bruno-country-club-en/
18,"https://www.google.com/maps/place/53 Desaultels St. Ste. Anne,MB R5H 1B9",Public,Par 72,"Ste. Anne, MB",(204) 422-8045,6073,,https://www.golfcanada.ca/golf-facility/oakwood-golf-course-en/
18,"https://www.google.com/maps/place/2200 Chemin Bowers, Sherbrooke, QC J1M 0B9 Sherbrooke,QC J1M 0B9",Semi-private,Par 73,"Sherbrooke, QC",(819) 562-4260,6712,https://www.golfmilby.com,https://www.golfcanada.ca/golf-facility/milby-club-de-golf-en/
18,"https://www.google.com/maps/place/1600 32nd Avenue N.E. Calgary,AB T2E 6R6",Public,Par 71,"Calgary, AB",(403) 291-0021,6845,,https://www.golfcanada.ca/golf-facility/mccall-lake-golf-course-en/
18,"https://www.google.com/maps/place/50 St. Phillips Road Etobicoke,ON M9P 2N6",Private,Par 72,"Etobicoke, ON",(416) 241-5254,6807,,https://www.golfcanada.ca/golf-facility/weston-golf-country-club-ltd-en/
18,"https://www.google.com/maps/place/RR#2 Guelph,ON N1H 6H8",Semi-private,Par 71,"Guelph, ON",(519) 821-2211,6426,,https://www.golfcanada.ca/golf-facility/victoria-park-east-golf-club-en/
18,"https://www.google.com/maps/place/3797 Joy's Road Richmond,ON K0A 2Z0",Public,Par 67,"Richmond, ON",(613) 838-4791,4815,https://richmondcentennialgolf.com,https://www.golfcanada.ca/golf-facility/richmond-centennial-golf-club-en/
9,"https://www.google.com/maps/place/1084 Highway 30 Gretna,MB R0G 0V0",Public,Par 72,"Gretna, MB",2043040156,6436,,https://www.golfcanada.ca/golf-facility/oakview-golf-country-club-en/
18,"https://www.google.com/maps/place/2900 College Rd Stevensville,ON L0S 1S0",Public,Par 72,"Stevensville, ON",—,6887,,https://www.golfcanada.ca/golf-facility/niagara-national-golf-country-en/
18,"https://www.google.com/maps/place/525 Lowry's Road Parksville,BC V9P 2R8",Semi-private,Par 73,"Parksville, BC",250-248-2244,7003,https://www.morningstargolf.com,https://www.golfcanada.ca/golf-facility/morningstar-golf-club-en/
18,"https://www.google.com/maps/place/34122 East Harmony Trail Calgary,AB T3Z 0G8",Private,Par 72,"Calgary, AB",4036200086,7437,,https://www.golfcanada.ca/golf-facility/mickelson-national-golf-club-en/
18,"https://www.google.com/maps/place/679 Rte 195, Matane Matane,QC G4W 3N1",Public,Par 71,"Matane, QC",(418) 562-4915,6040,https://www.golfmatane.com,https://www.golfcanada.ca/golf-facility/matane-club-de-golf-de-en/
27,"https://www.google.com/maps/place/2694 Wilson Dr Minesing,ON L9X 1K9",Private,,"Minesing, ON",(705) 721-3303,,,https://www.golfcanada.ca/golf-facility/vespra-hills-golf-club-en/
36,"https://www.google.com/maps/place/5407 Regional Road #25 Milton,ON L9T 2X5",Private,,"Milton, ON",(905) 878-6222,,https://en.clublink.ca,https://www.golfcanada.ca/golf-facility/rattlesnake-point-golf-club-en/
18,"https://www.google.com/maps/place/320 Queen Street, Fredericton,NB E3B 1B2",Public,Par —,"Fredericton, NB",506-206-3060,—,,https://www.golfcanada.ca/golf-facility/par-94-bar-and-golf-lounge-en/
18,"https://www.google.com/maps/place/269 German School Rd Paris,ON N3L 3E1",Semi-private,Par 72,"Paris, ON",1-888-833-8787,6363,,https://www.golfcanada.ca/golf-facility/oaks-of-st-george-golf-club-en/
18,"https://www.google.com/maps/place/6169 Garner Rd Niagara Falls,ON L2E 6S4",Public,Par —,"Niagara Falls, ON",905-358-4653,—,,https://www.golfcanada.ca/golf-facility/niagara-falls-golf-club-en/
18,"https://www.google.com/maps/place/3500 Morgan Creek Way Surrey,BC V3Z 0J7",Public,Par 72,"Surrey, BC",(604) 531-4653,6955,https://www.morgancreekgolf.com,https://www.golfcanada.ca/golf-facility/morgan-creek-golf-course-en/
9,"https://www.google.com/maps/place/Box 625 Riverton,MB R0C 2R0",Public,Par 72,"Riverton, MB",204-642-4653,6480,,https://www.golfcanada.ca/golf-facility/marvellous-meadows-golf-grill-en/
18,"https://www.google.com/maps/place/P.O. BOX 1935 Wawa,ON P0S 1K0",Public,Par —,"Wawa, ON",—,—,,https://www.golfcanada.ca/golf-facility/michipicoten-golf-club-en/
18,"https://www.google.com/maps/place/112 McWatty Road Pakenham,ON K0A 2X0",Public,,"Pakenham, ON",(613) 624-5550,,https://www.highlandsgolfclubs.com/pakgolf-home.htm,https://www.golfcanada.ca/golf-facility/pakenham-highlands-golf-course-en/
18,"https://www.google.com/maps/place/1725 KOHLSMITH ROAD COBDEN,ON K0J 1K0",Public,Par 71,"COBDEN, ON",(613) 646-2003,6227,"https://www.info@oaksofcobden,com",https://www.golfcanada.ca/golf-facility/oaks-of-cobden-golf-club-en/
29,"https://www.google.com/maps/place/21025 48th Avenue Langley,BC V3A 3M3",Public,Par 72,"Langley, BC",(604) 534-9211,6103,,https://www.golfcanada.ca/golf-facility/newlands-golf-club-en/
