addr:housenumber,addr:postcode,addr:street,name,building,addr:city,opening_hours,phone,website,addr:province,payment:cash,payment:debit_cards,payment:mastercard,payment:visa,sport,indoor,source,operator,note,fax,landuse,addr:full,golf,golf:course,golf:par,surface,layer,start_date,description,old_name,email,mapillary,wheelchair,winter_service,operator:type,operator:wikidata,addr:hamlet,tourism,facebook,image,barrier,addr:country,designation,demolished,source:name,type,contact:city,contact:housenumber,contact:street,fixme,area,area_m2,lat,lon,province,gcid
,,,Stavely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115004.26181592786,50.155724376343784,-113.63866122407738,Alberta,AA00288
,,,Heritage Pointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114649.4845102872,50.839523420665195,-113.98873544264306,Alberta,AA00118
,,,Gull Lake Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112361.10555765576,52.5976859909195,-114.06919367086678,Alberta,AA00201
5840,,19 Street SW,Lakeview Golf Course,,Calgary,,+1-403-300-1003,,,,,,,,,,The City of Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112254.87279871665,51.00047307093338,-114.10669464130936,Alberta,AA00053
,,,Cochrane Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107499.95365230954,51.17921520529433,-114.47137878935452,Alberta,AA00058
,,,Evergreen Golf Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106315.68740539304,49.671016099276756,-112.76299998342903,Alberta,AA00199
,,,Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99722.15122336234,50.94621763150435,-114.00286538983985,Alberta,AA00190
,,,Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93464.31400397421,50.944363107459075,-113.9959952727251,Alberta,AA00191
,,,Granum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89133.39104293245,49.87041317362799,-113.52041093660428,Alberta,AA00314
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87456.64530207173,51.177847019463144,-114.2529119379484,Alberta,AA00309
,,,Country Hills Golf Club,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79165.4272112452,51.15158193815578,-114.08008372969051,Alberta,AA00084
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78633.24670906372,53.65218848646306,-110.34798037514436,Alberta,AA00146
,,,Bogey Busters,,,,,,,,,,,,,,,,,grass,,driving_range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73084.5012519221,53.42692491212832,-113.55492171345125,Alberta,AA00229
2850,,,Ross Creek Executive Par 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70787.52014588642,49.990710953052464,-110.62524451452451,Alberta,AA00224
,,,Heritage Pointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70590.44779093275,50.84705951758471,-113.99978169542018,Alberta,AA00119
9333,T2L 4C4,Scenic Bow Road NW,Baker Park Disc Golf Course,,Calgary,,,,Alberta,,,,,,,https://www.dgcoursereview.com/course.php?id=4969&mode=lf,Calgary Disc Golf Association,,,,,,,,,,,Disc Golf Course (18 Holes),,,,,,,,,,,,,,,,,,,,,,,68947.78443960845,51.10077037512085,-114.22343379439825,Alberta,AA00264
,,,Country Hills Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64261.26848578548,51.15132016812442,-114.07377960631132,Alberta,AA00083
,,,Silver Springs Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61862.27867389042,51.10532418120858,-114.17992558767534,Alberta,AA00049
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61460.52457129719,53.87438478863753,-110.76332428593877,Alberta,AA00144
,,,100-180 Douglas Woods Grove SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56560.53847479694,50.94259355210312,-113.98654885760901,Alberta,AA00192
,,,49-73 Douglasview Rise SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52747.44781678411,50.93771201596786,-113.98802985563768,Alberta,AA00193
,,,Heritage Pointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45824.59952653412,50.83497170542939,-113.98263307007531,Alberta,AA00123
5600,T2K 0T3,Centre Street N,Thorncliffe Disc Golf Course,,Calgary,,,,Alberta,,,,,,,,Calgary Disc Golf Association,,,,,,,,,,,Disc Golf Course (9 Holes),,,,,,,,,,,,,,,,,,,,,,,45138.31126777691,51.09801388324272,-114.05964772278524,Alberta,AA00282
,,,Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45112.95066089763,50.940218385905176,-113.99559996307019,Alberta,AA00194
,,,24-42 Summit Pointe Dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44465.94850906531,50.842041082415555,-113.99229556508058,Alberta,AA00120
,,,TTB Solar Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36409.71588331361,49.428739892903074,-113.50134292728576,Alberta,AA00286
,,,TTB Solar Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36409.71588331361,49.428739892903074,-113.50134292728576,Alberta,AA00287
9284,T3K 0B3,Harvest Hills Boulevard N,Beddington Golf Park,,,Mo-Su 10:00-19:00,+1-403-686-2171,https://www.beddingtongolfpark.com/,,,,,,,,,Beddington Golf Park,,,grass,,driving_range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35834.081057874115,51.13547481493758,-114.0661303603809,Alberta,AA00101
,,,Harvest Hills Driving Range and Mini Golf,,,,,,,,,,,,,,,,,recreation_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34807.68400961736,51.15252231061091,-114.03852108683493,Alberta,AA00077
,,,Edmonton,,,,,,,,,,,,,,Mill Woods Golf Course,,,grass,,driving_range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34383.69626023652,53.48341145664772,-113.4298194902345,Alberta,AA00163
3204,,Collingwood Drive NW,Confederation Park Driving Range,,,,,,,,,,,,,,City of Calgary,,,,,driving_range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33880.96318688084,51.08090613385061,-114.10284626117524,Alberta,AA00206
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33763.29525612024,50.83577057038322,-114.01955975619923,Alberta,AA00128
,,,eaglequest Driving Range,,,,,douglasdale@eaglequestgolf.com,,,,,,,,,eaglequest Golf,,,,,driving_range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33335.193644641855,50.94859327567346,-114.01645144526849,Alberta,AA00187
,,,Kinsmen Pitch & Putt,,,,,https://kinsmenpitchandputt.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,27714.62235557264,53.52534200080339,-113.50973751635203,Alberta,AA00033
,,,Heritage Pointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19383.047525278278,50.847350072353045,-113.9943669674191,Alberta,AA00122
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17213.576347999948,56.262969580226745,-117.34594444706724,Alberta,AA00157
,,,Miskanaw Golf Club Cubs Course,,,,,https://www.miskanaw.ca/cubscourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10326.961760701615,56.74080206645159,-111.38076660380753,Alberta,AA00299
